IDGEO,ID_ENT,ID_MUN,ID_LOC,ID_AGEB,Entity,Municipality,Type,Long,Lat,Pob_MUN
090040335,09,004,,0335,Ciudad de México,Cuajimalpa,Rural,-99.309828479182,19.366249569338297,217 686
090040157,09,004,,0157,Ciudad de México,Cuajimalpa,Rural,-99.32798577126722,19.29606659894765,217 686
090080368,09,008,,0368,Ciudad de México,La Magdalena Contreras,Rural,-99.2788312381747,19.252167396376475,247 622
090121250,09,012,,1250,Ciudad de México,Tlalpan,Rural,-99.20448341245168,19.13843281761587,699 928
090121829,09,012,,1829,Ciudad de México,Tlalpan,Rural,-99.14481987307308,19.17498524528033,699 928
090121227,09,012,,1227,Ciudad de México,Tlalpan,Rural,-99.22159882951686,19.248115663667736,699 928
090121231,09,012,,1231,Ciudad de México,Tlalpan,Rural,-99.25988033556295,19.19238413378983,699 928
090121246,09,012,,1246,Ciudad de México,Tlalpan,Rural,-99.17728868502556,19.20928862992664,699 928
090130620,09,013,,0620,Ciudad de México,Xochimilco,Rural,-99.13788683521514,19.22815535934085,442 178
090130902,09,013,,0902,Ciudad de México,Xochimilco,Rural,-99.11822546445704,19.191299972167062,442 178
090130635,09,013,,0635,Ciudad de México,Xochimilco,Rural,-99.05742740189687,19.22937026540183,442 178
090090524,09,009,,0524,Ciudad de México,Milpa Alta,Rural,-99.07252564463212,19.20448590342262,152 685
090090115,09,009,,0115,Ciudad de México,Milpa Alta,Rural,-99.10895409380775,19.09177366267318,152 685
090090539,09,009,,0539,Ciudad de México,Milpa Alta,Rural,-99.10673587016916,19.151625846918144,152 685
090090100,09,009,,0100,Ciudad de México,Milpa Alta,Rural,-99.01903190671948,19.13916541757005,152 685
090101326,09,010,,1326,Ciudad de México,Álvaro Obregón,Rural,-99.29800022150673,19.287073568874977,759 137
090110471,09,011,,0471,Ciudad de México,Tláhuac,Rural,-98.99574872964152,19.30923451836767,392 313
090131281,09,013,,1281,Ciudad de México,Xochimilco,Rural,-99.07143320963456,19.27508213654277,442 178
090110838,09,011,,0838,Ciudad de México,Tláhuac,Rural,-99.0163219476948,19.230552651738,392 313
090111107,09,011,,1107,Ciudad de México,Tláhuac,Rural,-99.02040866784806,19.27712898266857,392 313
090111198,09,011,,1198,Ciudad de México,Tláhuac,Rural,-98.95598656743194,19.21855826312473,392 313
090111179,09,011,,1179,Ciudad de México,Tláhuac,Rural,-98.98224468353791,19.253569167148587,392 313
0900200010148,09,002,0001,0148,Ciudad de México,Azcapotzalco,Urbana,-99.2099910323042,19.49800417483449,432 205
0900200010190,09,002,0001,0190,Ciudad de México,Azcapotzalco,Urbana,-99.19254637994511,19.49463413002348,432 205
0900200010932,09,002,0001,0932,Ciudad de México,Azcapotzalco,Urbana,-99.18368719514233,19.50616408772743,432 205
0900200010237,09,002,0001,0237,Ciudad de México,Azcapotzalco,Urbana,-99.21180432269384,19.491335253025987,432 205
0900200010595,09,002,0001,0595,Ciudad de México,Azcapotzalco,Urbana,-99.21643545490872,19.482260979209933,432 205
0900200010608,09,002,0001,0608,Ciudad de México,Azcapotzalco,Urbana,-99.21447537672594,19.477458871732917,432 205
0900200010612,09,002,0001,0612,Ciudad de México,Azcapotzalco,Urbana,-99.21741053959585,19.478869289695496,432 205
0900200010627,09,002,0001,0627,Ciudad de México,Azcapotzalco,Urbana,-99.21823939887292,19.475981816021104,432 205
0900200011038,09,002,0001,1038,Ciudad de México,Azcapotzalco,Urbana,-99.21142081732457,19.4757945512974,432 205
0900200011076,09,002,0001,1076,Ciudad de México,Azcapotzalco,Urbana,-99.20995135376502,19.48659111668565,432 205
0900200011080,09,002,0001,1080,Ciudad de México,Azcapotzalco,Urbana,-99.21448703373235,19.485245495310817,432 205
0900200011165,09,002,0001,1165,Ciudad de México,Azcapotzalco,Urbana,-99.1651814533041,19.50163433807242,432 205
0900200011042,09,002,0001,1042,Ciudad de México,Azcapotzalco,Urbana,-99.2069588225784,19.47447865725847,432 205
0900200010665,09,002,0001,0665,Ciudad de México,Azcapotzalco,Urbana,-99.19313485265064,19.474242165560565,432 205
